rawGeofenceID,fullRegionID,geofenceDistance,geofenceType,storeID,storeLocationtext
5AB31DD192044E15A42A570DDA9A8940,gimbal:place:5AB31DD192044E15A42A570DDA9A8940:2298-1,2298-1,storeEntry,2298,Northeast Corner Juan Carlos & Las Cumbres
F5D408267F5946C69D2F42B9052AC89D,gimbal:place:F5D408267F5946C69D2F42B9052AC89D:2298,2298,driveToStore,2298,Northeast Corner Juan Carlos & Las Cumbres
95C45B3D67C440528008BA3A648F0C77,gimbal:place:95C45B3D67C440528008BA3A648F0C77:2299,2299,driveToStore,2299,Southwest Corner Juncos Plaza & Rd 31
47D54FDA849B426F9885D1E8F62CEE73,gimbal:place:47D54FDA849B426F9885D1E8F62CEE73:2299-1,2299-1,storeEntry,2299,Southwest Corner Juncos Plaza & Rd 31
5B15EC8702244BB19C3154416922BF7C,gimbal:place:5B15EC8702244BB19C3154416922BF7C:2300-1,2300-1,storeEntry,2300,San Mateo & Montgomery
724AA71DF3794480B3DE8EAE6AB80123,gimbal:place:724AA71DF3794480B3DE8EAE6AB80123:2300,2300,driveToStore,2300,San Mateo & Montgomery
21D5D3F29FF840CFAD7401D4250679D9,gimbal:place:21D5D3F29FF840CFAD7401D4250679D9:2301-1,2301-1,storeEntry,2301,Southwest Corner Of Lasierra Ave & Road
55B4C05355E54BF990435C20AC7D9E70,gimbal:place:55B4C05355E54BF990435C20AC7D9E70:2301,2301,driveToStore,2301,Southwest Corner Of Lasierra Ave & Road
79A7B2E29D8D41E88F117B321395DAF8,gimbal:place:79A7B2E29D8D41E88F117B321395DAF8:2302,2302,driveToStore,2302,Southwest Corner Of Municipal Street & Ro
C301B36A510941A78CB3603FF8941EB2,gimbal:place:C301B36A510941A78CB3603FF8941EB2:2302-1,2302-1,storeEntry,2302,Southwest Corner Of Municipal Street & Ro
14721DB2503D4C67ADCF6FDE7776D03F,gimbal:place:14721DB2503D4C67ADCF6FDE7776D03F:2303-1,2303-1,storeEntry,2303,Palatine & Arlington Heights Road Or Palatine & Rand
3EBAB260C9F74BD58166126F59BF636D,gimbal:place:3EBAB260C9F74BD58166126F59BF636D:2303,2303,driveToStore,2303,Palatine & Arlington Heights Road Or Palatine & Rand
E552705AD0694872991DC5144E10A053,gimbal:place:E552705AD0694872991DC5144E10A053:2304-1,2304-1,storeEntry,2304,Northwest Corner Of Road 181 & Road 183
FA2202D51FE948658A198097F1DBB55E,gimbal:place:FA2202D51FE948658A198097F1DBB55E:2304,2304,driveToStore,2304,Northwest Corner Of Road 181 & Road 183
0880EBFC1ABA41969CD54C3556929532,gimbal:place:0880EBFC1ABA41969CD54C3556929532:2305,2305,driveToStore,2305,Southeast Corner Of Ave Venus & Ave. Lom
A5B6B5E34B05485E896629DCB377A765,gimbal:place:A5B6B5E34B05485E896629DCB377A765:2305-1,2305-1,storeEntry,2305,Southeast Corner Of Ave Venus & Ave. Lom
23751DD641914963AC3FCD99434B4519,gimbal:place:23751DD641914963AC3FCD99434B4519:2306-1,2306-1,storeEntry,2306,Ralston & El Camino Real
A545870C820D45A58BB8F72DEBC21A73,gimbal:place:A545870C820D45A58BB8F72DEBC21A73:2306,2306,driveToStore,2306,Ralston & El Camino Real
9792D2855CB64ABBA9FC9537EE6881C2,gimbal:place:9792D2855CB64ABBA9FC9537EE6881C2:2307-1,2307-1,storeEntry,2307,Woolbright & Federal Highway
6A5C39D348F0439CB7300E017C5E41CA,gimbal:place:6A5C39D348F0439CB7300E017C5E41CA:2307,2307,driveToStore,2307,Woolbright & Federal Highway
46810A9ECB1B43FEAC7985D9268000F2,gimbal:place:46810A9ECB1B43FEAC7985D9268000F2:2308,2308,driveToStore,2308,Southwest Corner Of Los Dominicos & Sabana Seca Ave.
E234917337324CC79275E8DA1CFF6A60,gimbal:place:E234917337324CC79275E8DA1CFF6A60:2308-1,2308-1,storeEntry,2308,Southwest Corner Of Los Dominicos & Sabana Seca Ave.
D5DC123E6D10409592F3F51192BA43ED,gimbal:place:D5DC123E6D10409592F3F51192BA43ED:2309,2309,driveToStore,2309,87Th & Harlem Avenue
2AF9E7375F8948589B667933D08E1CFE,gimbal:place:2AF9E7375F8948589B667933D08E1CFE:2309-1,2309-1,storeEntry,2309,87Th & Harlem Avenue
070015860BFB4627893310A1C2C82424,gimbal:place:070015860BFB4627893310A1C2C82424:2310-1,2310-1,storeEntry,2310,Castro Valley Boulevard & Redwood
147FA4B4BA0543E09E6A4859D65E7D8A,gimbal:place:147FA4B4BA0543E09E6A4859D65E7D8A:2310,2310,driveToStore,2310,Castro Valley Boulevard & Redwood
8B74752490B54534B774A869013985CD,gimbal:place:8B74752490B54534B774A869013985CD:2311,2311,driveToStore,2311,Northwest Corner Of Los Colinas & Pr 2
E1CD7CCB45CB4615BEA3872F5FD52B43,gimbal:place:E1CD7CCB45CB4615BEA3872F5FD52B43:2311-1,2311-1,storeEntry,2311,Northwest Corner Of Los Colinas & Pr 2
68A726FE5E3842A19CA4C03C69F446A1,gimbal:place:68A726FE5E3842A19CA4C03C69F446A1:2312,2312,driveToStore,2312,State Street & Lake Street
E510EB76F07240A18977EF31460F507B,gimbal:place:E510EB76F07240A18977EF31460F507B:2312-1,2312-1,storeEntry,2312,State Street & Lake Street
C0E13743A969415E8E6CD6D3EE59E3A1,gimbal:place:C0E13743A969415E8E6CD6D3EE59E3A1:2313-1,2313-1,storeEntry,2313,Northwest Corner Of P.R. 181 & P.R. 850
B4ED32D8C1504802934768E505B3E520,gimbal:place:B4ED32D8C1504802934768E505B3E520:2313,2313,driveToStore,2313,Northwest Corner Of P.R. 181 & P.R. 850
555738FADAF341EABB518CF685A60508,gimbal:place:555738FADAF341EABB518CF685A60508:2314-1,2314-1,storeEntry,2314,Belmont & Central
7B0B2C973156419EA0D4183D35A979F1,gimbal:place:7B0B2C973156419EA0D4183D35A979F1:2314,2314,driveToStore,2314,Belmont & Central
094B8C5FD73845738E15E39E22150413,gimbal:place:094B8C5FD73845738E15E39E22150413:2315,2315,driveToStore,2315,Northeast Corner Of Pr 139 & Pr 14
AE14C6C0F27C47D9902D6BE8CD632F75,gimbal:place:AE14C6C0F27C47D9902D6BE8CD632F75:2315-1,2315-1,storeEntry,2315,Northeast Corner Of Pr 139 & Pr 14
E0F9B297479747DE9CD80DB41B79B6CC,gimbal:place:E0F9B297479747DE9CD80DB41B79B6CC:2316-1,2316-1,storeEntry,2316,106Th & Ewing
C8BE8649FCD14B25A3541896B6295416,gimbal:place:C8BE8649FCD14B25A3541896B6295416:2316,2316,driveToStore,2316,106Th & Ewing
2F2752F48C95457DBE9B860FD18E46A8,gimbal:place:2F2752F48C95457DBE9B860FD18E46A8:2317-1,2317-1,storeEntry,2317,Southeast Corner Rodriques Emma & 187Th
F258CFDE1C284F14BA3EB4F337CF9D4D,gimbal:place:F258CFDE1C284F14BA3EB4F337CF9D4D:2317,2317,driveToStore,2317,Southeast Corner Rodriques Emma & 187Th
65A2AC0258B84BF4BE5502DEDB311361,gimbal:place:65A2AC0258B84BF4BE5502DEDB311361:2318,2318,driveToStore,2318,Laurel & Alameda
D6986818DEF340DA8207673A17744C94,gimbal:place:D6986818DEF340DA8207673A17744C94:2318-1,2318-1,storeEntry,2318,Laurel & Alameda
93F14E715D4443BF9E956467F98CCD8C,gimbal:place:93F14E715D4443BF9E956467F98CCD8C:2319-1,2319-1,storeEntry,2319,55Th & Lake Park
D12A68FF7E244D8F89408F64F32A79B2,gimbal:place:D12A68FF7E244D8F89408F64F32A79B2:2319,2319,driveToStore,2319,55Th & Lake Park
